neighborhood,rec_id,year,population
Barrio Anita,RACE2UP,2019,21
Barrio Anita,HISPPOP,2019,231
Barrio Anita,MINORITY,2019,267
Barrio Anita,WHITE,2010,231
Barrio Anita,BLACK,2010,10
Barrio Anita,AMERIND,2010,29
Barrio Anita,ASIAN,2010,5
Barrio Anita,PACIFIC,2010,0
Barrio Anita,OTHRACE,2010,92
Barrio Anita,RACE2UP,2010,21
Barrio Anita,HISPPOP,2010,221
Barrio Anita,MINORITY,2010,256
Barrio Anita,DIVINDX,2010,81.7
Barrio Anita,HISPWHT,2019,102
Barrio Anita,HISPBLK,2019,3
Barrio Anita,HISPAI,2019,12
Barrio Anita,HISPASN,2019,0
Barrio Anita,HISPPI,2019,0
Barrio Anita,HISPOTH,2019,97
Barrio Anita,HISPMLT,2019,17
Barrio Anita,HWHITE,2010,99
Barrio Anita,HBLACK,2010,3
Barrio Anita,HAMERIND,2010,12
Barrio Anita,HASIAN,2010,0
Barrio Anita,HPACIFIC,2010,0
Barrio Anita,HOTHRACE,2010,91
Barrio Anita,HRACE2UP,2010,16
Barrio Anita,HRACEBAS,2010,221
Barrio Anita,H1RACE,2010,205
Barrio Anita,HADRBASE,2010,150
Barrio Anita,HAD1RACE,2010,144
Barrio Anita,U18RBASE,2010,95
Barrio Anita,NONHISP,2019,140
Barrio Blue Moon,WHITE,2019,510
Barrio Blue Moon,BLACK,2019,72
Barrio Blue Moon,AMERIND,2019,69
Barrio Blue Moon,ASIAN,2019,20
Barrio Blue Moon,PACIFIC,2019,3
Barrio Blue Moon,OTHRACE,2019,229
Barrio Blue Moon,RACE2UP,2019,53
Barrio Blue Moon,HISPPOP,2019,524
Barrio Blue Moon,MINORITY,2019,672
Barrio Blue Moon,WHITE,2010,574
Barrio Blue Moon,BLACK,2010,72
Barrio Blue Moon,AMERIND,2010,69
Barrio Blue Moon,ASIAN,2010,19
Barrio Blue Moon,PACIFIC,2010,3
Barrio Blue Moon,OTHRACE,2010,214
Barrio Blue Moon,RACE2UP,2010,52
Barrio Blue Moon,HISPPOP,2010,498
Barrio Blue Moon,MINORITY,2010,648
Barrio Blue Moon,DIVINDX,2010,83.1
Barrio Blue Moon,HISPWHT,2019,227
Barrio Blue Moon,HISPBLK,2019,13
Barrio Blue Moon,HISPAI,2019,30
Barrio Blue Moon,HISPASN,2019,2
Barrio Blue Moon,HISPPI,2019,1
Barrio Blue Moon,HISPOTH,2019,226
Barrio Blue Moon,HISPMLT,2019,26
Barrio Blue Moon,HWHITE,2010,219
Barrio Blue Moon,HBLACK,2010,12
Barrio Blue Moon,HAMERIND,2010,29
Barrio Blue Moon,HASIAN,2010,2
Barrio Blue Moon,HPACIFIC,2010,1
Barrio Blue Moon,HOTHRACE,2010,210
Barrio Blue Moon,HRACE2UP,2010,26
Barrio Blue Moon,HRACEBAS,2010,499
Barrio Blue Moon,H1RACE,2010,473
Barrio Blue Moon,HADRBASE,2010,358
Barrio Blue Moon,HAD1RACE,2010,343
Barrio Blue Moon,U18RBASE,2010,172
Barrio Blue Moon,NONHISP,2019,432
Barrio Centro,WHITE,2019,677
Barrio Centro,BLACK,2019,51
Barrio Centro,AMERIND,2019,40
Barrio Centro,ASIAN,2019,20
Barrio Centro,PACIFIC,2019,7
Barrio Centro,OTHRACE,2019,248
Barrio Centro,RACE2UP,2019,73
Barrio Centro,HISPPOP,2019,776
Barrio Centro,MINORITY,2019,899
Barrio Centro,WHITE,2010,679
Barrio Centro,BLACK,2010,50
Barrio Centro,AMERIND,2010,38
Barrio Centro,ASIAN,2010,18
Barrio Centro,PACIFIC,2010,7
Barrio Centro,OTHRACE,2010,220
Barrio Centro,RACE2UP,2010,68
Barrio Centro,HISPPOP,2010,704
Barrio Centro,MINORITY,2010,822
Barrio Centro,DIVINDX,2010,78.3
Barrio Centro,HISPWHT,2019,460
Barrio Centro,HISPBLK,2019,5
Barrio Centro,HISPAI,2019,16
Barrio Centro,HISPASN,2019,3
Barrio Centro,HISPPI,2019,0
Barrio Centro,HISPOTH,2019,245
Barrio Centro,HISPMLT,2019,47
Barrio Centro,HWHITE,2010,421
Barrio Centro,HBLACK,2010,4
Barrio Centro,HAMERIND,2010,15
Barrio Centro,HASIAN,2010,3
Barrio Centro,HPACIFIC,2010,0
Barrio Centro,HOTHRACE,2010,218
Barrio Centro,HRACE2UP,2010,44
Barrio Centro,HRACEBAS,2010,705
Barrio Centro,H1RACE,2010,660
Barrio Centro,HADRBASE,2010,517
Barrio Centro,HAD1RACE,2010,488
Barrio Centro,U18RBASE,2010,255
Barrio Centro,NONHISP,2019,340
Barrio Hollywood,WHITE,2019,1373
Barrio Hollywood,BLACK,2019,35
Barrio Hollywood,AMERIND,2019,154
Barrio Hollywood,ASIAN,2019,18
Barrio Hollywood,PACIFIC,2019,3
Barrio Hollywood,OTHRACE,2019,910
Barrio Hollywood,RACE2UP,2019,118
Barrio Hollywood,HISPPOP,2019,2317
Barrio Hollywood,MINORITY,2019,2447
Barrio Hollywood,WHITE,2010,1566
Barrio Hollywood,BLACK,2010,39
Barrio Hollywood,AMERIND,2010,175
Barrio Hollywood,ASIAN,2010,18
Barrio Hollywood,PACIFIC,2010,3
Barrio Hollywood,OTHRACE,2010,967
Barrio Hollywood,RACE2UP,2010,132
Barrio Hollywood,HISPPOP,2010,2516
Barrio Hollywood,MINORITY,2010,2664
Barrio Hollywood,DIVINDX,2010,77.2
Barrio Hollywood,HISPWHT,2019,1209
Barrio Hollywood,HISPBLK,2019,19
Barrio Hollywood,HISPAI,2019,81
Barrio Hollywood,HISPASN,2019,1
Barrio Hollywood,HISPPI,2019,1
Barrio Hollywood,HISPOTH,2019,909
Barrio Hollywood,HISPMLT,2019,97
Barrio Hollywood,HWHITE,2010,1330
Barrio Hollywood,HBLACK,2010,20
Barrio Hollywood,HAMERIND,2010,89
Barrio Hollywood,HASIAN,2010,1
Barrio Hollywood,HPACIFIC,2010,1
Barrio Hollywood,HOTHRACE,2010,966
Barrio Hollywood,HRACE2UP,2010,109
Barrio Hollywood,HRACEBAS,2010,2516
Barrio Hollywood,H1RACE,2010,2407
Barrio Hollywood,HADRBASE,2010,1821
Barrio Hollywood,HAD1RACE,2010,1752
Barrio Hollywood,U18RBASE,2010,777
Barrio Hollywood,NONHISP,2019,294
Barrio San Antonio,WHITE,2019,252
Barrio San Antonio,BLACK,2019,12
Barrio San Antonio,AMERIND,2019,10
Barrio San Antonio,ASIAN,2019,12
Barrio San Antonio,PACIFIC,2019,0
Barrio San Antonio,OTHRACE,2019,39
Barrio San Antonio,RACE2UP,2019,19
Barrio San Antonio,HISPPOP,2019,134
Barrio San Antonio,MINORITY,2019,175
Barrio San Antonio,WHITE,2010,254
Barrio San Antonio,BLACK,2010,12
Barrio San Antonio,AMERIND,2010,9
Barrio San Antonio,ASIAN,2010,10
Barrio San Antonio,PACIFIC,2010,0
Barrio San Antonio,OTHRACE,2010,32
Barrio San Antonio,RACE2UP,2010,16
Barrio San Antonio,HISPPOP,2010,114
Barrio San Antonio,MINORITY,2010,149
Barrio San Antonio,DIVINDX,2010,67.9
Barrio San Antonio,HISPWHT,2019,82
Barrio San Antonio,HISPBLK,2019,1
Barrio San Antonio,HISPAI,2019,4
Barrio San Antonio,HISPASN,2019,1
Barrio San Antonio,HISPPI,2019,0
Barrio San Antonio,HISPOTH,2019,38
Barrio San Antonio,HISPMLT,2019,9
Barrio San Antonio,HWHITE,2010,70
Barrio San Antonio,HBLACK,2010,1
Barrio San Antonio,HAMERIND,2010,3
Barrio San Antonio,HASIAN,2010,1
Barrio San Antonio,HPACIFIC,2010,0
Barrio San Antonio,HOTHRACE,2010,31
Barrio San Antonio,HRACE2UP,2010,8
Barrio San Antonio,HRACEBAS,2010,114
Barrio San Antonio,H1RACE,2010,106
Barrio San Antonio,HADRBASE,2010,92
Barrio San Antonio,HAD1RACE,2010,88
Barrio San Antonio,U18RBASE,2010,41
Barrio San Antonio,NONHISP,2019,210
Barrio Santa Rosa,WHITE,2019,495
Barrio Santa Rosa,BLACK,2019,158
Barrio Santa Rosa,AMERIND,2019,71
Barrio Santa Rosa,ASIAN,2019,11
Barrio Santa Rosa,PACIFIC,2019,0
Barrio Santa Rosa,OTHRACE,2019,357
Barrio Santa Rosa,RACE2UP,2019,63
Barrio Santa Rosa,HISPPOP,2019,736
Barrio Santa Rosa,MINORITY,2019,964
Barrio Santa Rosa,WHITE,2010,478
Barrio Santa Rosa,BLACK,2010,142
Barrio Santa Rosa,AMERIND,2010,63
Barrio Santa Rosa,ASIAN,2010,9
Barrio Santa Rosa,PACIFIC,2010,0
Barrio Santa Rosa,OTHRACE,2010,297
Barrio Santa Rosa,RACE2UP,2010,54
Barrio Santa Rosa,HISPPOP,2010,622
Barrio Santa Rosa,MINORITY,2010,827
Barrio Santa Rosa,DIVINDX,2010,88
Barrio Santa Rosa,HISPWHT,2019,303
Barrio Santa Rosa,HISPBLK,2019,14
Barrio Santa Rosa,HISPAI,2019,31
Barrio Santa Rosa,HISPASN,2019,5
Barrio Santa Rosa,HISPPI,2019,0
Barrio Santa Rosa,HISPOTH,2019,351
Barrio Santa Rosa,HISPMLT,2019,32
Barrio Santa Rosa,HWHITE,2010,262
Barrio Santa Rosa,HBLACK,2010,12
Barrio Santa Rosa,HAMERIND,2010,26
Barrio Santa Rosa,HASIAN,2010,4
Barrio Santa Rosa,HPACIFIC,2010,0
Barrio Santa Rosa,HOTHRACE,2010,291
Barrio Santa Rosa,HRACE2UP,2010,28
Barrio Santa Rosa,HRACEBAS,2010,623
Barrio Santa Rosa,H1RACE,2010,594
Barrio Santa Rosa,HADRBASE,2010,410
Barrio Santa Rosa,HAD1RACE,2010,391
Barrio Santa Rosa,U18RBASE,2010,344
Barrio Santa Rosa,NONHISP,2019,420
Barrio Viejo,WHITE,2019,585
Barrio Viejo,BLACK,2019,19
Barrio Viejo,AMERIND,2019,25
Barrio Viejo,ASIAN,2019,9
Barrio Viejo,PACIFIC,2019,0
Barrio Viejo,OTHRACE,2019,131
Barrio Viejo,RACE2UP,2019,52
Barrio Viejo,HISPPOP,2019,408
Barrio Viejo,MINORITY,2019,461
Barrio Viejo,WHITE,2010,580
Barrio Viejo,BLACK,2010,17
Barrio Viejo,AMERIND,2010,21
Barrio Viejo,ASIAN,2010,7
Barrio Viejo,PACIFIC,2010,0
Barrio Viejo,OTHRACE,2010,105
Barrio Viejo,RACE2UP,2010,43
Barrio Viejo,HISPPOP,2010,334
Barrio Viejo,MINORITY,2010,379
Barrio Viejo,DIVINDX,2010,71.3
Barrio Viejo,HISPWHT,2019,224
Barrio Viejo,HISPBLK,2019,2
